timestamp,mint,name,symbol,creator,signature
2025-06-27T13:52:53.930169,8m7NtNssbHYGbbyAmjLgkqvpQFXod2dYuKzjjVoqpump,SQUIDBUNKER,SQUIDBUNKE,9MaSZmB5z27iZGqXi3LXRrTu5f6eKWCWofGyeEgCHeNG,1kaWsXr3yRjVWSHKDqx4BMF7Y4jUWdaxaymU9CajYPeBkjpgKgYyYMmkwDUcbNauVfLuPSDX1aBz3FGZwG32uaW
2025-06-27T13:52:53.930446,8m7NtNssbHYGbbyAmjLgkqvpQFXod2dYuKzjjVoqpump,SQUIDBUNKER,SQUIDBUNKE,77AmxQwisFwSjUA2AibVqf6n4qVjoCMQd534912am1QK,4F7vmgCBeprY7jKEAqxhzpqwgCQfF8NHiPRUQA74a7npzx1Nkm6YRCEk15TdJLbbPs7yRB3SqmNTH2DtbPLNAr1D
2025-06-27T13:52:53.932549,HoQnnHbREt9wejfmBZamyjsiaN8FuTsae2Wtecv2nsW1,TERAGA AI,TEA,V9FRt9UHUAnKD2PYu3qS3iSJDtyebmupf4mYKrVuK4D,XzPDvfv9GkiYYtWA3J27zECNCsKVm2gMo7uLaK7KLyoybyDV8Cd8RjP2qKjgWAytZVHAk9DwpZAJBGVGeZDn5kq
2025-06-27T13:52:53.932667,8fBgK9SKeBNzgZeRroaHx6M6h64rgZWe7q3XB6YZpump,Squidward 456,squid456,C1Mgg1dDc44MKQPRLsR1k8iRTdq8DvRkVYyWGqSSHGTc,4MtQJwbY1bdLMnhYHGHEu37SnX8mDPcqocyR8FN6MCz2e7wCFzkTgXSEQC1njMAESQikubJRpNPnCWtW1nFRTCXb
